event,model_lang,person,organization,location,country,date
4,gemma_en,1,3,1,1,5
2,gemma_en,1,5,0,4,5
5,gemma_en,0,5,0,2,2
6,gemma_en,0,9,2,4,6
2,gemma_en,1,4,1,3,1
5,gemma_en,3,2,0,2,4
5,gemma_en,1,7,1,4,4
2,gemma_en,0,5,1,0,1
3,gemma_en,0,3,0,2,4
2,gemma_en,3,6,1,1,4
5,gemma_es,2,10,2,1,5
7,gemma_es,2,3,1,8,4
3,gemma_es,2,6,0,2,4
8,gemma_es,3,12,1,4,4
1,gemma_es,0,1,1,2,2
5,gemma_es,3,5,2,1,5
2,gemma_es,2,12,0,2,5
2,gemma_es,0,5,1,0,1
6,gemma_es,1,2,1,2,2
6,gemma_es,1,10,0,1,5
3,qwen_en,0,8,2,1,3
4,qwen_en,1,1,1,7,3
2,qwen_en,1,6,0,2,2
1,qwen_en,3,7,0,1,3
0,qwen_en,0,2,4,2,2
3,qwen_en,5,6,0,4,4
3,qwen_en,3,10,2,2,3
3,qwen_en,1,1,2,2,3
4,qwen_en,1,3,1,2,2
2,qwen_en,2,7,2,2,9
4,qwen_es,1,6,1,1,3
0,qwen_es,2,1,1,6,6
1,qwen_es,1,7,0,1,3
1,qwen_es,2,3,1,7,3
0,qwen_es,1,2,2,4,1
1,qwen_es,4,5,2,7,8
0,qwen_es,1,5,1,2,5
1,qwen_es,0,0,0,0,0
0,qwen_es,0,2,1,1,4
1,qwen_es,1,5,1,3,4
5,llama_en,1,12,1,4,3
3,llama_en,2,7,1,4,7
4,llama_en,3,4,2,2,13
2,llama_en,4,0,3,4,8
0,llama_en,2,1,2,2,3
2,llama_en,2,3,1,4,9
3,llama_en,5,6,0,3,8
6,llama_en,0,7,1,1,4
3,llama_en,1,3,9,2,11
8,llama_en,4,8,1,2,3
0,llama_es,1,3,1,1,3
1,llama_es,2,3,0,2,3
1,llama_es,4,5,1,2,4
1,llama_es,2,3,1,6,4
2,llama_es,1,2,2,2,2
1,llama_es,5,1,0,3,7
2,llama_es,1,6,0,1,4
2,llama_es,1,2,3,2,2
0,llama_es,0,4,0,2,2
0,llama_es,2,5,2,1,9
